Nashville, Tennessee, USA;36.162277;-86.774298
Bellingham, Washington, USA;48.754401;-122.478836
Halifax, USA;40.469105;-76.931457
Northumberland, USA;40.895103;-76.805393
Montoursville, USA;41.255221;-76.912893
Stevens Point, USA;44.522922;-89.574111
Issaquah, Washington, USA;47.534878;-122.043297
Preston, Washington, USA;47.521420;-121.926409
Easton, USA;47.237178;-121.178277
South Cle Elum, USA;47.185797;-120.950386
Roslyn, USA;47.223960;-120.994114
Ellensburg, USA;46.997064;-120.545122
Thorp, USA;47.068014;-120.672687
Vantage, Washington, USA;46.943721;-119.989966
Kittitas, Washington, USA;46.983822;-120.418290
Hobart, Washington, USA;47.414397;-121.972325
Covington, Washington, USA;47.365779;-122.100222
Maple Valley, Washington, USA;47.366423;-122.043713
Kent, Washington, USA;47.382690;-122.227027
Tukwila, Washington, USA;47.462736;-122.255916
Bellevue, Washington, USA;47.614422;-122.192337
Redmond, Washington, USA;47.669414;-122.123877
Everett, Washington, USA;47.967306;-122.201399
Kirkland, Washington, USA;47.685957;-122.192025
Sammamish, Washington, USA;47.608844;-122.042307
Vancouver, Washington, USA;45.630695;-122.674456
Spokane, Washington, USA;47.657193;-117.423510
El Paso, Texas, USA;31.775415;-106.464634
Coutts, USA;49.001731;-111.963889
North Portal, USA;49.001450;-102.548026
Northgate, USA;48.999636;-102.263301
Stewart, USA;55.938309;-129.991176
Gretna, USA;49.007878;-97.561599
Ravensdale, Washington, USA;47.352477;-121.983765
York, USA;39.962462;-76.727707
de:Columbus (New Mexico), USA;31.832796;-107.640227
Galveston, USA;29.299328;-94.794588
Jamaica Beach, Texas, USA;29.183125;-94.972940
Hanover, USA;39.806325;-76.984274
Dover, USA;40.001449;-76.847331
Mazomanie, Wisconsin, USA;43.175373;-89.796009
Poughkeepsie, New York, USA;41.706554;-73.928367
Northampton, Pennsylvania, USA;40.687183;-75.489665
Dillsburg, Pennsylvania, USA;40.110941;-77.035806
Wrightsville, USA;40.026681;-76.533439
Normal, Illinois, USA;40.509287;-88.984380
Boise, Idaho, USA;43.616616;-116.200886
Nampa, USA;43.573736;-116.559631
Caldwell, USA;43.667874;-116.689416
Meridian, Idaho, USA;43.608629;-116.392326
Bethlehem, Pennsylvania, USA;40.617891;-75.378652
Allentown, USA;40.602206;-75.471279
Concord, New Hampshire, USA;43.207178;-71.537476
Fort Collins, USA;40.550853;-105.066808
Bath, Pennsylvania, USA;40.726519;-75.393491
Mifflinville, USA;41.029534;-76.307783
Lightstreet, USA;41.037689;-76.423885
Mainville, USA;40.975849;-76.374648
Catawissa, USA;40.954827;-76.460987
Orangeville, USA;41.078455;-76.414042
Hartford, Connecticut, USA;41.764582;-72.690855
Bloomsburg, Pennsylvania, USA;41.004496;-76.453730
Nantucket, USA;41.285157;-70.098422
Madaket, USA;41.272675;-70.195411
Morrisburg, Ontario, USA;44.897704;-75.182954
Erie, Pennsylvania, USA;42.129471;-80.085269
Titusville, USA;41.624468;-79.669652
New Paltz (village), New York, USA;41.746497;-74.084489
Wayne, Nebraska, USA;42.230322;-97.017877
New York City, USA;40.712728;-74.006015
Millbrook, USA;41.786504;-73.692187
Madrid, USA;44.750147;-75.130874
Lavonia, Georgia, USA;34.435331;-83.107128
Quidnet, USA;41.304912;-69.981574
Squam, USA;41.314017;-69.988451
Cummings Township, Lycoming County, Pennsylvania#Waterville, USA;41.308506;-77.362011
Rexburg, USA;43.823516;-111.787022
Rigby, USA;43.675194;-111.918002
Westport, South Dakota, USA;45.648925;-98.497037
Palo Alto, California, USA;37.444329;-122.159847
Mountain View, California, USA;37.389389;-122.083210
Whitefish, Montana, USA;48.410802;-114.334624
Kalispell, Montana, USA;48.202158;-114.315321
Polson, Montana, USA;47.690529;-114.163761
Bozeman, Montana, USA;45.679429;-111.044047
Pocatello, Idaho, USA;42.862029;-112.450627
Rocky Ridge, USA;39.933188;-111.824287
Vernal, Utah, USA;40.455683;-109.528474
Arco, USA;43.635336;-113.299953
Millersburg, USA;40.541715;-76.961400
Belington, USA;39.025097;-79.935587
Manchester, Pennsylvania, USA;40.058810;-76.721137
Wago Junction, USA;40.091693;-76.692970
Goldsboro, Pennsylvania, USA;40.153003;-76.750655
Blackfoot, USA;43.190039;-112.348357
Shelley, USA;43.379980;-112.126914
Butte, USA;46.013151;-112.536508
Missoula, USA;46.870105;-113.995267
Billings, Montana, USA;45.787496;-108.496070
